id,termino,titular,fecha,duracion,enlace
5c92cff97ed1a84463a544e5,futbol femenino,"Vicky Losada: ""Los que dicen que el fútbol es de hombres son los que nunca ven fútbol femenino""",2019-03-20,0:08:11,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/vicky-losada-los-que-dicen-que-el-futbol-es-de-hombres-son-los-que-nunca-ven-futbol-femenino_201903215c92d0860cf24e4f1c6741a9.html
5c7090187ed1a8078428726c,futbol femenino,"Fútbol y literatura, las pasiones de Sara Serrat",2019-02-23,0:14:52,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/futbol-y-literatura-las-pasiones-de-sara-serrat_201902235c70909d0cf2812925f32930.html
5c6b03797ed1a88ec603a49e,futbol femenino,Aquí en la Onda Navarra. 18/02/2019,2019-02-18,0:50:57,https://www.ondacero.es/emisoras/navarra/pamplona/audios-podcast/aqui-en-la-onda-navarra-18022019_201902185c6b03fd0cf2dd61801c191e.html
5c8e4bb47ed1a87b945dc31f,futbol femenino,Récord de asistencia en el fútbol femenino: 60.739 espectadores para el Atlético-Barcelona en el Metropolitano ,2019-03-17,0:00:19,https://www.ondacero.es/deportes/futbol/record-de-asistencia-en-el-futbol-femenino-60739-espectadores-para-el-atletico-barcelona-en-metropolitano_201903175c8e4c110cf203ec7b3c9d71.html
5c87ce427ed1a8b6ebf7ed1a,futbol femenino,"Ellas Juegan 02x25: ""La emoción y el orgullo del padre de una futbolista""",2019-03-12,0:45:22.680000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/ellas-juegan-02x25-la-emocion-y-el-orgullo-del-padre-de-una-futbolista_201903125c87d0540cf2118e3d4cc87f.html
5c7fca7d7ed1a85fd7fcad99,futbol femenino,Deportivo Abanca: Del sueño por el ascenso a la pesadilla por la guerra entre Tebas y Rubiales,2019-03-06,0:10:10,https://www.ondacero.es/emisoras/galicia/coruna/onda-deportiva/deportivo-abanca-del-sueno-por-el-ascenso-a-la-pesadilla-por-la-guerra-entre-tebas-y-rubiales_201903065c7fcb390cf2e6d4ecbe29ee.html
5c73ed5a7ed1a807842875ad,futbol femenino,Bergantiños no vio conformismo en Málaga y comienza la revolución del nuevo Deportivo Liceo,2019-02-25,0:11:11,https://www.ondacero.es/emisoras/galicia/coruna/onda-deportiva/bergantinos-no-vio-conformismo-en-malaga-y-comienza-la-revolucion-del-nuevo-deportivo-liceo_201902255c73eded0cf26747a1d76e77.html
5c7e596f7ed1a85a2423a07d,futbol femenino,Luis Rubiales quiere aprobar una Liga Femenina alternativa a la Liga Iberdrola,2019-03-05,0:01:29.328000,https://www.ondacero.es/deportes/futbol/luis-rubiales-quiere-aprobar-una-liga-femenina-alternativa-a-la-liga-iberdrola_201903055c7e5a290cf2948a08f8e666.html
5c59a4cb7ed1a8de27e10699,futbol femenino,Ellas Juegan 02x20: Especial derbi vasco en Anoeta,2019-02-05,0:44:59.928000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02x20-especial-derbi-vasco-en-anoeta_201902055c59a59b0cf2cfda54bd5e55.html
5c52f4827ed1a8d75bf8a84e,futbol femenino,Bizkaia en la Onda 31/01/2019,2019-01-31,1:29:48,https://www.ondacero.es/emisoras/pais-vasco/audios-podcast/mas-de-uno-euskadi/bizkaia-en-la-onda-31012019_201901315c52f4ef0cf2c93edd410602.html
